,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,very_likely_commercial,tourist_tax,unpaid_tourist_tax,geom
3195,15048590,https://www.airbnb.com/rooms/15048590,2021-12-17,Cozy Top Floor Flat steps away from PONTE VECCHIO,95100872,Conte,2016-09-14,"Florence, Tuscany, Italy",12,Centro Storico,43.76907,11.2487,Entire home/apt,4,1.0,59.0,1.0,9,18,48,323,119,12,1,,t,15,1.86,19.200000000000003,1132.8,5.26027397260274,0,1,1,0,0,1,0,1,738.8808532721753,1,0,0,0,0,0,1,1,1,1,1,115.20000000000002,115.20000000000002,POINT (11.2487 43.7691)
3196,15068108,https://www.airbnb.com/rooms/15068108,2021-12-17,Cozy Quiet Flat w/Top Floor Terrace Close to River,95100872,Conte,2016-09-14,"Florence, Tuscany, Italy",12,Centro Storico,43.76897,11.24908,Entire home/apt,4,1.0,60.0,1.0,23,53,83,358,106,14,0,,t,15,1.66,22.400000000000002,1344.0,6.136986301369864,0,1,1,0,0,1,0,1,721.7964404582605,1,0,0,0,0,0,1,1,1,1,1,134.4,134.4,POINT (11.2491 43.769)
3199,15096377,https://www.airbnb.com/rooms/15096377,2021-12-17,Classic One-Bedroom Near Ponte Vecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,4,1.0,41.0,8.5,28,58,88,363,151,11,0,,t,23,2.39,46.75,1916.75,12.808219178082192,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,280.5,280.5,POINT (11.2492 43.7683)
3200,15097157,https://www.airbnb.com/rooms/15097157,2021-12-17,Darling Studio In Historic Palazzo by PonteVecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,2,1.0,41.0,8.4,16,46,76,351,134,18,0,,t,23,2.12,75.60000000000001,3099.6,20.71232876712329,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,453.6,453.6,POINT (11.2492 43.7683)
3201,15102490,https://www.airbnb.com/rooms/15102490,2021-12-17,Romantic view of Pitti Palace with piano music,10965225,Cristian,2014-01-02,"Florence, Tuscany, Italy",2,Centro Storico,43.7668,11.24915,Entire home/apt,6,2.0,30.0,1.0,6,6,6,205,109,13,3,,t,2,1.72,20.8,624.0,5.698630136986302,0,1,0,0,1,1,0,1,891.1546569202475,1,0,0,0,0,0,1,1,0,0,0,124.80000000000001,124.80000000000001,POINT (11.2492 43.7668)
3202,15103413,https://www.airbnb.com/rooms/15103413,2021-12-17,Apartment set in a property with breathtaking view,95555673,Ana,2016-09-17,"Florence, Tuscany, Italy",1,Centro Storico,43.76218,11.23413,Entire home/apt,5,2.0,215.0,7.0,17,47,61,234,4,1,0,,f,1,0.07,3.5,752.5,0.9589041095890412,0,1,0,1,0,1,0,0,2138.4572685044436,1,0,0,0,0,0,1,1,0,0,0,21.0,21.0,POINT (11.2341 43.7622)
3203,15119780,https://www.airbnb.com/rooms/15119780,2021-12-17,"Lunardi - Suite S.Lorenzo, Firenze",38226944,Giovanna,2015-07-12,"Milan, Lombardy, Italy",3,Centro Storico,43.77416,11.25549,Entire home/apt,4,2.0,114.0,2.0,28,58,88,178,166,10,1,,t,3,2.64,16.0,1824.0,4.383561643835616,0,1,1,0,0,0,0,1,124.72665016459798,1,0,0,0,0,0,1,1,1,1,1,96.0,96.0,POINT (11.2555 43.7742)
3204,15119852,https://www.airbnb.com/rooms/15119852,2021-12-17,Spacious Flat in Santo Spirito Vibes,95814086,Maria Gabriella,2016-09-19,"Florence, Tuscany, Italy",1,Centro Storico,43.76632,11.24532,Entire home/apt,4,2.0,70.0,3.0,0,0,0,124,65,2,0,,t,1,1.06,3.2,224.0,0.8767123287671234,0,1,0,1,0,1,0,1,1143.205697284295,1,0,0,0,0,0,1,1,0,0,0,19.200000000000003,19.200000000000003,POINT (11.2453 43.7663)
3206,15127630,https://www.airbnb.com/rooms/15127630,2021-12-17,Classically Lovely Flat Near Ponte Vecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,3,1.0,41.0,8.4,23,53,83,358,158,19,2,,t,23,2.5,79.8,3271.8,21.863013698630134,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,478.79999999999995,478.79999999999995,POINT (11.2492 43.7683)
3207,15128019,https://www.airbnb.com/rooms/15128019,2021-12-17,Warm Apartment In Historic Palazzo by PonteVecchio,92288914,White River Srl,2016-08-28,"Florence, Tuscany, Italy",23,Centro Storico,43.76827,11.24923,Entire home/apt,2,1.0,41.0,8.5,20,50,80,355,101,10,0,,t,23,1.6,42.5,1742.5,11.643835616438356,0,1,1,0,0,1,0,1,764.924281315304,1,0,0,0,0,0,1,1,1,1,1,255.0,255.0,POINT (11.2492 43.7683)
