,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
8658,32463204,https://www.airbnb.com/rooms/32463204,2020-09-01,✷ Tuscan Penthouse w terrace in Piazza Duomo ✷,2772732,Dani,2012-06-28,"Florence, Tuscany, Italy",2.0,Centro Storico,43.77292,11.25432,Entire home/apt,4,2.0,249.0,19,19,19,19,57,0,,t,2,6.02
8659,32468678,https://www.airbnb.com/rooms/32468678,2020-08-31,BIG & STYLISH IN SANTA CROCE NEXT TO BARGELLO,28273577,Eleonora,2015-02-24,"Florence, Tuscany, Italy",3.0,Centro Storico,43.76999,11.25787,Entire home/apt,4,2.0,120.0,30,60,90,365,1,0,,t,2,0.27
8660,32469897,https://www.airbnb.com/rooms/32469897,2020-09-01,Beautiful City View Apartment with FREE Garage,243939890,Massimo,2019-02-18,"Florence, Tuscany, Italy",1.0,Centro Storico,43.75991,11.24164,Entire home/apt,6,3.0,75.0,22,51,81,115,28,2,,t,1,3.47
8661,32480565,https://www.airbnb.com/rooms/32480565,2020-09-01,LE GRAZIE apartments in superb location,76556384,Andrea,2016-06-08,"Florence, Tuscany, Italy",64.0,Centro Storico,43.76725,11.25686,Entire home/apt,5,2.0,99.0,30,60,90,212,11,0,,t,38,1.43
8662,32481723,https://www.airbnb.com/rooms/32481723,2020-09-01,PONTE VECCHIO ESCAPE BSJ,22019730,Federica Maria,2014-10-01,Italy,1.0,Centro Storico,43.76739,11.25183,Entire home/apt,4,2.0,85.0,14,14,14,72,25,0,,t,1,3.64
8663,32481841,https://www.airbnb.com/rooms/32481841,2020-09-01,Dai Nonni,244050269,Matteo,2019-02-19,"San Casciano In Val di Pesa, Tuscany, Italy",1.0,Isolotto Legnaia,43.76686,11.23676,Entire home/apt,4,1.0,40.0,0,0,0,58,9,1,,f,1,1.2
8664,32482086,https://www.airbnb.com/rooms/32482086,2020-09-01,LEGRAZIE apartments in BEST location of Florence!!,76556384,Andrea,2016-06-08,"Florence, Tuscany, Italy",64.0,Centro Storico,43.76833,11.25845,Entire home/apt,5,2.0,99.0,30,60,90,212,11,0,,t,38,2.01
8665,32484699,https://www.airbnb.com/rooms/32484699,2020-09-01,Charming in the Historic Center,244069611,Santina,2019-02-19,IT,1.0,Centro Storico,43.76831,11.25895,Entire home/apt,6,2.0,230.0,30,60,90,180,0,0,,f,1,
8666,32485142,https://www.airbnb.com/rooms/32485142,2020-09-01,"Apartment in Florence, Santa Croce",201739458,Your.Rentals,2018-07-12,FR,499.0,Centro Storico,43.76933,11.26485,Entire home/apt,5,3.0,119.0,28,58,88,363,0,0,,t,13,
8667,32485819,https://www.airbnb.com/rooms/32485819,2020-08-31,Ognissanti APT 2- very central located,244036724,Maria Daniela & Stefano,2019-02-19,"Florence, Tuscany, Italy",2.0,Centro Storico,43.7719,11.24574,Entire home/apt,2,1.0,80.0,0,0,0,0,0,0,,t,2,
8668,32486969,https://www.airbnb.com/rooms/32486969,2020-08-31,Apartment with a view,36038147,Susi,2015-06-17,US,1.0,Campo di Marte,43.78396,11.27356,Entire home/apt,6,2.0,85.0,0,0,0,0,2,0,,t,1,0.21
8669,32488108,https://www.airbnb.com/rooms/32488108,2020-09-01,Casetta del Ponte alle Riffe - Firenze,188169972,Gabriele,2018-05-06,"Florence, Tuscany, Italy",1.0,Campo di Marte,43.78949,11.27152,Entire home/apt,2,1.0,50.0,0,30,60,150,13,0,,t,1,2.72
8670,32488784,https://www.airbnb.com/rooms/32488784,2020-09-01,"Santa Croce - The Studio, Le Stanze della Contessa",1678042,Cosimo,2012-01-31,"Florence, Toscana, Italy",7.0,Centro Storico,43.76805,11.26175,Entire home/apt,2,1.0,75.0,30,60,90,364,3,0,,t,7,0.78
8671,32489522,https://www.airbnb.com/rooms/32489522,2020-08-31,A rooftop terrace overlooking Medici Chapels,45259442,Elvira,2015-09-28,"Florence, Tuscany, Italy",108.0,Centro Storico,43.77553,11.25146,Entire home/apt,2,1.0,92.0,0,0,0,0,0,0,,t,97,0.12
8672,32490419,https://www.airbnb.com/rooms/32490419,2020-09-01,SOPHISTICATED HOME WITH A COMMUNAL TOP TERRACE,152140176,Alessandra,2017-09-26,"Clinton, Iowa, United States",24.0,Centro Storico,43.76775,11.2518,Entire home/apt,8,3.0,285.0,30,60,61,304,12,0,,t,8,1.92
8673,32491119,https://www.airbnb.com/rooms/32491119,2020-08-31,Ognissanti APT 1 -  very central located,244036724,Maria Daniela & Stefano,2019-02-19,"Florence, Tuscany, Italy",2.0,Centro Storico,43.77339,11.24422,Entire home/apt,2,,65.0,0,0,0,0,0,0,,t,2,0.13
8674,32491997,https://www.airbnb.com/rooms/32491997,2020-08-31,perfect for you and your loved ones,244123142,Emilia,2019-02-19,"Florence, Tuscany, Italy",1.0,Campo di Marte,43.77126,11.27495,Entire home/apt,4,1.0,34.0,0,0,0,0,10,0,,t,1,1.16
8675,32494264,https://www.airbnb.com/rooms/32494264,2020-08-31,Florentine sweet escape (1),39433729,Bianca,2015-07-24,"Florence, Tuscany, Italy",2.0,Gavinana Galluzzo,43.76236,11.28235,Entire home/apt,2,1.0,80.0,0,0,0,0,4,0,,t,2,0.83
8676,32495924,https://www.airbnb.com/rooms/32495924,2020-08-31,The Little Vasarian Il piccolo Vasariano,244159497,Stefania,2019-02-19,IT,1.0,Centro Storico,43.77163,11.26444,Entire home/apt,2,1.0,66.0,24,54,84,359,77,5,,t,1,7.94
8677,32496102,https://www.airbnb.com/rooms/32496102,2020-09-01,Modern Comfort & Classic Style,5994362,Alessandra,2013-04-19,"Florence, Tuscany, Italy",4.0,Campo di Marte,43.78291,11.26328,Entire home/apt,2,1.0,65.0,29,59,89,269,7,0,,f,2,1.12
8678,32509954,https://www.airbnb.com/rooms/32509954,2020-09-01,"""SALERNITANO"" POLIMODA APARTMENTS",233483862,Cinzia Chiaramonti,2018-12-31,IT,12.0,Centro Storico,43.77547,11.24424,Entire home/apt,4,1.0,60.0,30,60,90,365,1,0,,f,10,0.1
8679,32510032,https://www.airbnb.com/rooms/32510032,2020-09-01,Florence Art Suite Bernini,243476157,Fornace,2019-02-16,"Florence, Tuscany, Italy",0.0,Centro Storico,43.76412,11.26945,Entire home/apt,4,1.0,200.0,29,59,89,364,0,0,,f,6,0.12
8680,32510211,https://www.airbnb.com/rooms/32510211,2020-09-01,Florence Art Suite Cellini,243476157,Fornace,2019-02-16,"Florence, Tuscany, Italy",0.0,Centro Storico,43.76334,11.26948,Entire home/apt,2,1.0,200.0,29,59,89,364,0,0,,f,6,
8681,32514753,https://www.airbnb.com/rooms/32514753,2020-09-01,"Cozy Central Apartment! Arno, Station, Duomo x4",96122546,Ilenia & Benedetta,2016-09-21,IT,360.0,Centro Storico,43.77381,11.24493,Entire home/apt,4,1.0,69.0,27,57,87,171,17,1,,t,70,1.84
8682,32514925,https://www.airbnb.com/rooms/32514925,2020-09-01,"Sant'Orsola - Bright &modern San Lorenzo, Firenze",5056483,Halldis Apartments & Villas,2013-02-12,Head of Innovation & Revenue,706.0,Centro Storico,43.77627,11.25277,Entire home/apt,6,2.0,227.0,30,60,90,365,0,0,,t,113,0.07
