,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
2074,8222956,https://www.airbnb.com/rooms/8222956,Residenza Guelfa NEWFlorence Center,5104015,Francesco,2013-02-16,"Florence, Tuscany, Italy",9,Centro Storico,43.7762,11.2552,Entire home/apt,8,2.0,$200.00,3,3,3,261,0,0,,f,8,0.85
2075,8246121,https://www.airbnb.com/rooms/8246121,IL TORRINO,9315419,Lorenzo,2013-10-08,"Florence, Tuscany, Italy",1,Gavinana Galluzzo,43.75112,11.22672,Entire home/apt,4,1.0,$140.00,0,0,16,233,4,0,,f,1,1.26
2076,8261511,https://www.airbnb.com/rooms/8261511,TheHipster - Loft in Oltrarno,43565965,Francesco,2015-09-07,"Florence, Tuscany, Italy",1,Centro Storico,43.76712,11.24579,Entire home/apt,2,1.0,$65.00,9,35,51,216,11,1,,t,1,0.93
2077,8280427,https://www.airbnb.com/rooms/8280427,Gioia 2b near Sant'Ambrogio Market,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77218,11.26687,Entire home/apt,6,2.0,$248.00,0,0,0,0,0,0,,t,125,
2078,8296288,https://www.airbnb.com/rooms/8296288,Charming apartment in the heart of Florence,38080187,Alessio,2015-07-10,"Florence, Tuscany, Italy",0,Campo di Marte,43.76851,11.27403,Entire home/apt,4,2.0,"$5,000.00",30,60,90,365,0,0,,f,1,5.74
2079,8297010,https://www.airbnb.com/rooms/8297010,Home Nerli 9 - Family Apartment in Florence,43747376,Fabrizio,2015-09-09,"Florence, Tuscany, Italy",1,Centro Storico,43.76985,11.24155,Entire home/apt,4,2.0,$85.00,0,0,0,0,0,0,,f,1,0.59
2080,8313640,https://www.airbnb.com/rooms/8313640,Florence Flat on the River,2939037,Veronica,2012-07-15,"Los Angeles, California, United States",1,Gavinana Galluzzo,43.76266,11.27908,Private room,1,1.0,$22.00,0,0,0,0,0,0,,f,1,0.03
2081,8314408,https://www.airbnb.com/rooms/8314408,Sant’Ambrogio Passion 2b,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77245,11.26427,Entire home/apt,6,2.0,$228.00,0,0,0,0,0,0,,t,125,0.07
2082,8314500,https://www.airbnb.com/rooms/8314500,New flat near Duomo and Station,1425302,Silvia,2011-11-20,"Florence, Tuscany, Italy",1,Centro Storico,43.78104,11.25918,Entire home/apt,4,2.0,$71.00,0,0,29,264,2,0,,f,1,1.96
2083,8346137,https://www.airbnb.com/rooms/8346137,★Torrigiani Apartment in  San Frediano,22410058,Pietro,2014-10-11,"Florence, Tuscany, Italy",2,Centro Storico,43.76845,11.24253,Entire home/apt,6,2.0,$121.00,26,56,79,303,0,0,,f,2,0.15
2084,8348606,https://www.airbnb.com/rooms/8348606,Limone,15960426,Guidetta,2014-05-25,"Florence, Tuscany, Italy",6,Gavinana Galluzzo,43.74911,11.2585,Private room,2,1.0,$70.00,16,46,54,54,2,1,,t,6,0.3
2085,8357951,https://www.airbnb.com/rooms/8357951,Appartamento nel cuore di Firenze,44054853,Paola,2015-09-13,"Tuscany, Italy",2,Centro Storico,43.77656,11.25139,Entire home/apt,4,1.0,$25.00,0,1,8,96,28,4,,f,2,2.92
2086,8364825,https://www.airbnb.com/rooms/8364825,Double bedroom in luxury apt,44087717,Pamela,2015-09-13,"Florence, Tuscany, Italy",1,Centro Storico,43.76749,11.24927,Private room,2,1.0,$65.00,28,58,88,363,0,0,,f,2,0.22
2087,8375395,https://www.airbnb.com/rooms/8375395,Oriuolo Romantic Terrace,3314526,Alessandro,2012-08-20,"Florence, Tuscany, Italy",64,Centro Storico,43.77181,11.26156,Entire home/apt,3,1.0,$115.00,0,0,16,291,0,0,,f,36,0.84
2088,8415087,https://www.airbnb.com/rooms/8415087,Oltrarno charming apartment,7439057,Rita E Gisella,2013-07-12,"Florence, Tuscany, Italy",35,Centro Storico,43.76901,11.24116,Entire home/apt,2,1.0,$84.00,0,0,0,144,1,0,,t,31,0.11
2089,8417404,https://www.airbnb.com/rooms/8417404,Luxury cottage in private garden,25538438,Hermione,2015-01-03,"Florence, Tuscany, Italy",2,Centro Storico,43.76584,11.23982,Entire home/apt,3,1.0,$460.00,30,60,90,365,0,0,,t,2,
2090,8418519,https://www.airbnb.com/rooms/8418519,Lovely apartment Tiziano-Florence,32724347,Chiara,2015-05-06,Italia,1,Isolotto Legnaia,43.76709,11.20068,Entire home/apt,5,1.0,$80.00,0,0,0,0,0,0,,t,1,1.07
2091,8418563,https://www.airbnb.com/rooms/8418563,apartment in centre of Florence,25538438,Hermione,2015-01-03,"Florence, Tuscany, Italy",2,Centro Storico,43.76567,11.24096,Entire home/apt,4,2.0,$400.00,30,60,90,365,0,0,,f,2,
2092,8433612,https://www.airbnb.com/rooms/8433612,Gorgeous apt in Florence's HEART,5529078,Giovanni,2013-03-19,"Florence, Tuscany, Italy",6,Centro Storico,43.7673,11.24905,Entire home/apt,6,2.0,$150.00,20,50,77,331,0,0,,t,4,0.37
2093,8434294,https://www.airbnb.com/rooms/8434294,Renovated cozy apt with veranda,44410856,Serenella,2015-09-17,"Florence, Tuscany, Italy",1,Campo di Marte,43.7903,11.27123,Entire home/apt,4,1.0,$55.00,0,0,16,291,0,0,,f,1,1.76
2094,8448472,https://www.airbnb.com/rooms/8448472,beautiful apartment attic,9943040,Paola,2013-11-11,"Florence, Tuscany, Italy",2,Campo di Marte,43.76984,11.27987,Entire home/apt,4,1.0,$78.00,11,41,71,157,0,0,,t,2,0.1
2095,8449637,https://www.airbnb.com/rooms/8449637,Appartamento Firenze Stibbert,44482841,Lidia,2015-09-18,"Florence, Tuscany, Italy",1,Rifredi,43.79014,11.2548,Entire home/apt,5,1.0,$53.00,0,0,16,291,0,0,,t,1,0.64
2096,8450568,https://www.airbnb.com/rooms/8450568,6.0 ART FACTORY FLORENCE,44486678,Elena,2015-09-18,"Florence, Tuscany, Italy",1,Centro Storico,43.76214,11.24206,Entire home/apt,2,1.0,$53.00,0,14,44,319,15,0,,t,1,3.48
2097,8458164,https://www.airbnb.com/rooms/8458164,Tosca's Room in the city centre with garden,42348007,Vittoria,2015-08-24,"Florence, Tuscany, Italy",2,Centro Storico,43.7754,11.26882,Private room,2,1.0,$80.00,0,8,38,313,0,0,,f,1,0.17
2098,8458640,https://www.airbnb.com/rooms/8458640,Brand new apartment near University,44525896,Mirjam,2015-09-18,"Florence, Tuscany, Italy",1,Rifredi,43.79585,11.23026,Entire home/apt,4,2.0,$74.00,0,0,18,293,0,0,,f,1,
2099,8464704,https://www.airbnb.com/rooms/8464704,Modernized and Intimate Loft on an Ancient Street,6453195,Enrico,2013-05-18,"Florence, Tuscany, Italy",2,Centro Storico,43.77277,11.24723,Entire home/apt,3,1.0,$63.00,9,39,69,84,19,3,,t,1,3.1
2100,8476133,https://www.airbnb.com/rooms/8476133,Double bedroom with balcony,44637319,Lucia,2015-09-20,"Florence, Tuscany, Italy",1,Campo di Marte,43.78324,11.28059,Private room,2,1.0,$35.00,0,0,0,0,0,0,,t,1,2.79
2101,8491051,https://www.airbnb.com/rooms/8491051,S.Frediano Florence Apartment 3bdr,32319722,Stefano,2015-05-01,"Florence, Tuscany, Italy",2,Centro Storico,43.77017,11.24396,Entire home/apt,7,3.0,$110.00,12,42,72,218,0,0,,t,1,0.63
2102,8498045,https://www.airbnb.com/rooms/8498045,Camera Pervinca con bagno interno,4839217,Cristina,2013-01-25,"Florence, Tuscany, Italy",3,Campo di Marte,43.78667,11.27378,Hotel room,2,1.0,$110.00,0,0,0,0,0,0,,t,4,
2103,8498530,https://www.airbnb.com/rooms/8498530,FORTEZZA - Charming two bedroom apartment,44811120,La Fortezza,2015-09-22,"Florence, Tuscany, Italy",1,Rifredi,43.78437,11.24587,Entire home/apt,6,2.0,$126.00,6,36,66,341,0,0,,t,1,0.19
2104,8502201,https://www.airbnb.com/rooms/8502201,GIOTTO 3BR 1 LVR 2BTH apartment,9288345,Salvatore,2013-10-07,"Florence, Tuscany, Italy",12,Centro Storico,43.76724,11.25789,Entire home/apt,12,3.0,$190.00,17,34,60,270,2,1,,f,12,0.83
2105,8502234,https://www.airbnb.com/rooms/8502234,un'angolo incantato,44054853,Paola,2015-09-13,"Tuscany, Italy",2,Centro Storico,43.76807,11.24172,Entire home/apt,3,1.0,$31.00,13,21,30,198,22,2,,f,2,2.92
2106,8502468,https://www.airbnb.com/rooms/8502468,camera singola con veduta giardini,22059280,Martina,2014-10-02,"Florence, Tuscany, Italy",3,Isolotto Legnaia,43.7745,11.23065,Private room,1,1.0,$35.00,20,50,80,355,0,0,,f,3,
2107,8503552,https://www.airbnb.com/rooms/8503552,camera matrimoniale,22059280,Martina,2014-10-02,"Florence, Tuscany, Italy",3,Isolotto Legnaia,43.77406,11.22956,Private room,2,1.0,$45.00,29,59,89,364,0,0,2010,f,3,0.03
2108,8503952,https://www.airbnb.com/rooms/8503952,Wonderfoul duble Suite,7878792,Giulia,2013-08-01,"Florence, Tuscany, Italy",4,Centro Storico,43.7781,11.26451,Private room,2,1.0,$56.00,0,0,0,260,0,0,,f,3,0.31
2109,8504124,https://www.airbnb.com/rooms/8504124,suite,22059280,Martina,2014-10-02,"Florence, Tuscany, Italy",3,Isolotto Legnaia,43.77214,11.23062,Private room,1,1.0,$50.00,30,60,90,365,0,0,,f,3,0.02
2110,8513685,https://www.airbnb.com/rooms/8513685,MICHELANGELO 2BR 1LR 2BTH,9288345,Salvatore,2013-10-07,"Florence, Tuscany, Italy",12,Centro Storico,43.76676,11.25989,Entire home/apt,8,2.0,$123.00,12,29,55,265,2,0,,f,12,0.43
2111,8513998,https://www.airbnb.com/rooms/8513998,GIOTTO E MICHELANGELO 5BR 2LVR 4BTH,9288345,Salvatore,2013-10-07,"Florence, Tuscany, Italy",12,Centro Storico,43.76698,11.25916,Entire home/apt,16,5.0,$234.00,12,29,59,269,7,1,,f,12,0.6
2112,8514355,https://www.airbnb.com/rooms/8514355,Charming flat with terrace & garden,44834007,Sandra,2015-09-22,"Florence, Tuscany, Italy",1,Centro Storico,43.7649,11.26122,Entire home/apt,5,2.0,$99.00,0,0,0,71,0,0,,f,1,0.35
2113,8514507,https://www.airbnb.com/rooms/8514507,Duomo Small Luxury house. Borgo Pinti 41 Wi-Fi A/C,44834636,Claudia,2015-09-22,"Panzano In Chianti, Toscana, Italy",2,Centro Storico,43.77293,11.26309,Entire home/apt,4,2.0,$170.00,23,53,83,281,1,0,,f,2,0.07
2114,8515681,https://www.airbnb.com/rooms/8515681,"Duomo area. Wonderful flat WI/FI,AC Borgo Pinti 41",44834636,Claudia,2015-09-22,"Panzano In Chianti, Toscana, Italy",2,Centro Storico,43.77308,11.26303,Entire home/apt,6,3.0,$170.00,17,47,77,249,0,0,,f,2,0.1
2115,8536394,https://www.airbnb.com/rooms/8536394,"Cottage Michelangelo,verde in città",25333136,Eleonora,2014-12-29,"Florence, Tuscany, Italy",2,Gavinana Galluzzo,43.74994,11.23307,Entire home/apt,2,1.0,$80.00,15,45,56,300,11,1,,t,2,1.21
2116,8546167,https://www.airbnb.com/rooms/8546167,Elegant Double bedroom with private bathroom,1250315,Simone,2011-10-05,"Florence, Toscana, Italy",8,Centro Storico,43.78151,11.2542,Private room,4,1.0,$36.00,15,29,59,334,3,1,,f,3,0.15
2117,8560989,https://www.airbnb.com/rooms/8560989,GUELFA PATIO APARTMENT WITH PARKING OPTION,39776,Carol,2009-09-20,"Florence, Tuscany, Italy",33,Centro Storico,43.77778,11.25491,Entire home/apt,6,1.0,$193.00,22,52,82,357,0,0,,t,19,0.16
2118,8589104,https://www.airbnb.com/rooms/8589104,la casa dei viaggiatori,42582678,Donella,2015-08-26,"Florence, Tuscany, Italy",2,Centro Storico,43.7833,11.23956,Entire home/apt,4,2.0,$70.00,11,41,71,326,12,4,,t,1,3.46
2119,8589634,https://www.airbnb.com/rooms/8589634,Cozy Rainbow flat,6850319,Martina,2013-06-11,"Coventry, England, United Kingdom",1,Rifredi,43.79381,11.24437,Entire home/apt,4,1.0,$48.00,0,0,0,0,0,0,,f,1,
2120,8594773,https://www.airbnb.com/rooms/8594773,Florence Liberty Flat with Terrace,7569800,Sofia,2013-07-18,"Fiesole, Tuscany, Italy",1,Campo di Marte,43.78057,11.27897,Entire home/apt,4,1.0,$80.00,3,18,28,256,0,0,,f,1,0.88
2121,8601120,https://www.airbnb.com/rooms/8601120,Nilde House,45259677,Lorenzo,2015-09-28,"Florence, Tuscany, Italy",1,Centro Storico,43.78617,11.24023,Entire home/apt,3,1.0,$116.00,29,59,89,364,1,0,,t,1,0.18
2122,8601157,https://www.airbnb.com/rooms/8601157,Cozy Loft in Florence / Independent apartment,35617367,Marco,2015-06-12,"Florence, Tuscany, Italy",2,Campo di Marte,43.80907,11.27316,Entire home/apt,2,1.0,$35.00,14,44,74,154,58,7,,t,2,6.4
2123,8605134,https://www.airbnb.com/rooms/8605134,GUELFA 47 - Elegant apartment in Florence,45274441,Alba,2015-09-28,IT,0,Centro Storico,43.77836,11.25302,Entire home/apt,4,2.0,$130.00,19,19,19,252,2,0,,t,1,0.8
