,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented,rounded_revenue,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,global_total_listings,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,census_tract_id,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,num_residents_census,num_households_census,res_buildings_census,num_bedrooms_census,num_household_renters_census,num_household_owners_census
10,39165,https://www.airbnb.com/rooms/39165,2021-12-17,Florence Central Double Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,72.0,25,55,67,304,1,0,,f,11,0.11,3.7142857142857144,267.43,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
11,39822,https://www.airbnb.com/rooms/39822,2021-12-17,Apartment Santa Monaca,154769,Matilde,2010-06-29,"Florence, Toscana, Italy",6,Centro Storico,43.76742,11.24378,Entire home/apt,4,2.0,75.0,0,0,0,138,0,0,,f,4,0.18,0.0,0.0,0,1,1,0,0,1,0,0,10,1168.8986382034925,1,0,0,0,0,480170060510.0,0,0,1,1,1,526,299,64,368,98,157
12,42997,https://www.airbnb.com/rooms/42997,2021-12-17,Pinzochere 2DX Studio,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,102.0,0,0,0,73,0,0,048017LTN4061,t,125,0.02,0.0,0.0,0,1,1,0,0,1,1,1,314,715.3774057820348,1,0,0,0,0,480170060630.0,0,0,0,1,1,32,17,3,24,4,9
13,43365,https://www.airbnb.com/rooms/43365,2021-12-17,Pinzochere 2SX by Santa Croce,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76944,11.26331,Entire home/apt,3,1.0,143.0,0,0,0,0,0,0,048017LTN4277,t,125,0.01,0.0,0.0,0,1,1,0,0,1,1,1,314,715.3774057820348,1,0,0,0,0,480170060630.0,0,0,0,1,1,32,17,3,24,4,9
14,43369,https://www.airbnb.com/rooms/43369,2021-12-17,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,122.0,0,0,0,0,0,0,048017LTN4271,t,125,0.07,0.0,0.0,0,1,1,0,0,1,1,1,314,715.3774057820348,1,0,0,0,0,480170060630.0,0,0,0,1,1,32,17,3,24,4,9
15,44781,https://www.airbnb.com/rooms/44781,2021-12-17,Stylish Terrace on Boboli Gardens,33210,Rocco,2009-08-22,"Florence, Tuscany, Italy",1,Centro Storico,43.76418,11.24618,Entire home/apt,4,1.0,99.0,13,13,13,214,24,1,,t,1,2.24,89.14285714285714,8825.14,0,1,0,1,0,1,0,1,2,1267.8385582260137,1,0,0,0,0,480170060362.0,0,0,1,0,0,198,79,16,99,13,56
16,45606,https://www.airbnb.com/rooms/45606,2021-12-17,MATTEO Apart. Florence Centre,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,3,1.0,70.0,2,31,44,319,6,0,,t,3,3.2,22.285714285714285,1560.0,0,1,1,0,0,1,0,1,6,1493.0539386735159,0,0,1,0,0,480170060862.0,0,0,1,1,1,69,35,5,32,13,19
17,46520,https://www.airbnb.com/rooms/46520,2021-12-17,A Residenza Martin:  Superior room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77699,11.25216,Private room,3,1.0,57.0,25,55,82,345,6,0,,t,26,0.68,22.285714285714285,1270.29,0,0,1,0,0,1,0,1,62,531.3950627188879,1,0,0,0,0,480170061090.0,0,0,1,1,1,14,9,6,13,3,4
18,46523,https://www.airbnb.com/rooms/46523,2021-12-17,A Residenza Martin:  Single room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77704,11.25217,Private room,1,1.0,43.0,16,44,74,333,16,5,,t,26,1.59,59.42857142857143,2555.43,0,0,1,0,0,1,0,1,62,535.4591891676976,1,0,0,0,0,480170061090.0,0,0,1,1,1,14,9,6,13,3,4
19,46524,https://www.airbnb.com/rooms/46524,2021-12-17,A Residenza Martin:  Deluxe room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.777,11.25216,Private room,3,1.0,59.0,24,54,81,344,12,1,,t,26,0.6,44.57142857142857,2629.71,0,0,1,0,0,1,0,1,62,532.2991349235758,1,0,0,0,0,480170061090.0,0,0,1,1,1,14,9,6,13,3,4
20,47498,https://www.airbnb.com/rooms/47498,2021-12-17,Leonardo House,215302,Darko,2010-08-28,"Florence, Toscana, Italy",4,Centro Storico,43.77386,11.25028,Private room,3,1.0,46.0,22,52,82,357,6,1,,t,3,3.59,22.285714285714285,1025.14,0,0,1,0,0,1,0,1,7,468.1989918707479,1,0,0,0,0,480170060943.0,0,0,1,1,1,78,41,11,42,16,18
21,48372,https://www.airbnb.com/rooms/48372,2021-12-17,Central Single Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,1,1.0,46.0,11,20,50,301,0,0,,f,11,0.03,0.0,0.0,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
22,52543,https://www.airbnb.com/rooms/52543,2021-12-17,FILIPPO Apartm. FLORENCE CENTER,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.77175,11.2364,Entire home/apt,5,1.0,70.0,0,0,0,77,1,0,,t,3,1.48,3.7142857142857144,260.0,0,1,1,0,0,1,0,1,6,1585.1503882368659,0,0,1,0,0,480170060847.0,0,0,0,1,1,472,259,60,267,43,186
23,52545,https://www.airbnb.com/rooms/52545,2021-12-17,LETIZIA FLORENCE CENTER Apartm.,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.77164,11.23819,Entire home/apt,4,1.0,80.0,16,16,16,229,1,0,,t,3,1.64,3.7142857142857144,297.14,0,1,1,0,0,1,0,1,6,1443.0688664212691,0,0,1,0,0,480170060847.0,0,0,1,1,1,472,259,60,267,43,186
24,57542,https://www.airbnb.com/rooms/57542,2021-12-17,love Florence?love Florentin house,274074,Elly,2010-10-29,"Florence, Toscana, Italy",22,Centro Storico,43.77236,11.24787,Entire home/apt,4,1.0,111.0,10,22,45,320,3,0,,f,12,0.81,11.142857142857142,1236.86,0,1,1,0,0,1,0,0,34,659.7039185861533,1,0,0,0,0,480170060842.0,0,0,1,1,1,151,81,23,105,30,42
25,57572,https://www.airbnb.com/rooms/57572,2021-12-17,Camera Verde B&B Leonardo da Vinci,274227,Carla,2010-10-29,"Florence, Toscana, Italy",3,Campo di Marte,43.78244,11.26419,Private room,3,1.0,48.0,0,14,44,316,0,0,,t,3,1.19,0.0,0.0,0,0,1,0,0,1,0,1,6,1229.489319927407,0,0,0,0,1,480170061415.0,0,0,1,1,1,182,86,18,136,41,38
26,57644,https://www.airbnb.com/rooms/57644,2021-12-17,Terrazzino Apartment,274758,Francesco,2010-10-30,"Florence, Toscana, Italy",6,Centro Storico,43.77713,11.26182,Entire home/apt,4,1.0,90.0,1,13,43,181,7,1,,t,5,0.6,26.0,2340.0,0,1,1,0,0,1,0,1,11,648.1059064098607,1,0,0,0,0,480170061261.0,0,0,1,1,1,6,3,3,7,1,0
27,57767,https://www.airbnb.com/rooms/57767,2021-12-17,Toscanella Apartment,274758,Francesco,2010-10-30,"Florence, Toscana, Italy",6,Centro Storico,43.76728,11.25066,Entire home/apt,8,3.0,168.0,5,35,65,270,0,0,,t,5,0.63,0.0,0.0,0,1,1,0,0,1,0,1,11,776.5373125539086,1,0,0,0,0,480170060482.0,0,0,1,1,1,18,14,5,17,6,5
28,57859,https://www.airbnb.com/rooms/57859,2021-12-17,"Bright flat,Terrace central Firenze",274074,Elly,2010-10-29,"Florence, Toscana, Italy",22,Centro Storico,43.77652,11.25588,Entire home/apt,3,1.0,90.0,14,14,28,275,8,0,,t,12,1.21,29.714285714285715,2674.29,0,1,1,0,0,1,0,1,34,380.1116283759926,1,0,0,0,0,480170061094.0,0,0,1,1,1,216,123,16,113,41,68
29,60838,https://www.airbnb.com/rooms/60838,2021-12-17,Home Sweet Home away from home 753 Square Feet,293716,Paolo,2010-11-21,"Florence, Toscana, Italy",1,Centro Storico,43.77263,11.26316,Entire home/apt,4,2.0,88.0,24,54,84,264,2,0,,f,1,0.65,7.428571428571429,653.71,0,1,0,1,0,1,0,0,2,578.8230747228569,1,0,0,0,0,480170060919.0,0,0,1,0,0,170,107,28,105,39,58
30,61209,https://www.airbnb.com/rooms/61209,2021-12-17,B&B Leonardo da Vinci Double Room,274227,Carla,2010-10-29,"Florence, Toscana, Italy",3,Campo di Marte,43.78209,11.26469,Private room,2,1.0,42.0,0,14,44,319,0,0,,t,3,3.38,0.0,0.0,0,0,1,0,0,1,0,1,6,1219.4866534796802,0,0,0,0,1,480170061415.0,0,0,1,1,1,182,86,18,136,41,38
31,64023,https://www.airbnb.com/rooms/64023,2021-12-17,Loft style historical Central,96905,Elisabetta And Claudia,2010-03-21,"Florence, Tuscany, Italy",3,Centro Storico,43.77089,11.25966,Entire home/apt,2,1.0,60.0,4,4,13,202,3,0,,t,3,1.2,11.142857142857142,668.57,0,1,1,0,0,1,0,1,6,383.57290103540964,1,0,0,0,0,480170060754.0,0,0,1,1,1,115,59,12,61,17,31
32,66045,https://www.airbnb.com/rooms/66045,2021-12-17,ARTISTI bright and comfortable apartment,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4,Campo di Marte,43.78262,11.26856,Entire home/apt,4,1.0,70.0,0,15,45,320,0,0,,f,4,0.72,0.0,0.0,0,1,1,0,0,1,0,0,8,1463.2959049681608,0,0,0,0,1,480170061425.0,0,0,1,1,1,102,47,13,101,6,26
33,66324,https://www.airbnb.com/rooms/66324,2021-12-17,"Le Tre Stanze Bedrooms,Junior Suite",324794,Steiner,2010-12-22,"Florence, Toscana, Italy",3,Centro Storico,43.77149,11.2594,Private room,3,1.0,120.0,15,45,75,350,0,0,,f,3,0.21,0.0,0.0,0,0,1,0,0,1,0,0,6,327.00751818775524,1,0,0,0,0,480170060754.0,0,0,1,1,1,115,59,12,61,17,31
34,66353,https://www.airbnb.com/rooms/66353,2021-12-17,AGNOLO gorgeous and colorful flat,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4,Centro Storico,43.77055,11.26723,Entire home/apt,5,3.0,107.0,27,57,87,362,0,0,,f,4,0.17,0.0,0.0,0,1,1,0,0,1,0,0,8,947.5118674697896,1,0,0,0,0,480170060724.0,0,0,1,1,1,0,0,0,0,0,0
35,66598,https://www.airbnb.com/rooms/66598,2021-12-17,Santa Croce wonderful and cozy apartment,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4,Centro Storico,43.76787,11.26324,Entire home/apt,7,2.0,95.0,0,12,42,225,0,0,,f,4,1.02,0.0,0.0,0,1,1,0,0,1,0,0,8,823.087634860873,1,0,0,0,0,480170060559.0,0,0,1,1,1,25,13,4,27,5,5
36,66903,https://www.airbnb.com/rooms/66903,2021-12-17,apartment in the center of Florence,328936,Stefano,2010-12-28,"Florence, Toscana, Italy",1,Centro Storico,43.77591,11.25846,Entire home/apt,4,1.0,75.0,25,55,85,360,0,0,,t,1,0.07,0.0,0.0,0,1,0,1,0,1,0,1,2,369.7322777259506,1,0,0,0,0,480170061045.0,0,0,1,0,0,313,201,40,260,55,86
37,67725,https://www.airbnb.com/rooms/67725,2021-12-17,Central Triple Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,3,1.0,90.0,26,30,30,221,1,0,,f,11,0.05,3.7142857142857144,334.29,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
38,68273,https://www.airbnb.com/rooms/68273,2021-12-17,Regal Apartment in 16th Century Florentine Palazzo,338220,Allegra,2011-01-07,"Florence, Toscana, Italy",4,Centro Storico,43.77931,11.25805,Entire home/apt,3,1.0,124.0,0,0,0,76,6,0,,t,1,0.3,22.285714285714285,2763.43,0,1,1,0,0,1,0,1,5,709.4436409958058,1,0,0,0,0,480170061160.0,0,0,0,1,1,113,57,14,78,23,22
39,68530,https://www.airbnb.com/rooms/68530,2021-12-17,Lovely Flat in Old Town Florence,340421,Franco,2011-01-09,"Florence, Toscana, Italy",1,Centro Storico,43.77597,11.25035,Entire home/apt,6,2.0,80.0,11,41,71,274,10,3,,t,1,0.59,37.142857142857146,2971.43,0,1,0,1,0,1,0,1,2,555.5157174200424,1,0,0,0,0,480170061073.0,0,0,1,0,0,135,81,8,71,24,50
40,70885,https://www.airbnb.com/rooms/70885,2021-12-17,Central Double Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,57.0,25,33,33,230,1,0,,f,11,0.16,3.7142857142857144,211.71,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
41,71605,https://www.airbnb.com/rooms/71605,2021-12-17,Florence Central Double Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,72.0,26,56,86,337,3,1,,f,11,0.14,11.142857142857142,802.29,0,0,1,0,0,1,0,0,21,364.5251050727623,1,0,0,0,0,480170061025.0,0,0,1,1,1,86,56,17,64,18,29
42,73345,https://www.airbnb.com/rooms/73345,2021-12-17,Luxury Apartment near Duomo,382561,Ati,2011-02-08,"Florence, Tuscany, Italy",6,Centro Storico,43.76971,11.2518,Entire home/apt,4,1.0,68.0,18,48,78,337,16,0,,t,4,1.49,59.42857142857143,4041.14,0,1,1,0,0,1,0,1,10,506.18101273976043,1,0,0,0,0,480170060623.0,0,0,1,1,1,36,27,9,51,6,13
43,73739,https://www.airbnb.com/rooms/73739,2021-12-17,Your apartment in the Heart of City,385786,Dante,2011-02-10,"Rome, Lazio, Italy",1,Isolotto Legnaia,43.76988,11.23978,Entire home/apt,4,1.0,72.0,15,15,15,274,2,0,,t,1,0.28,7.428571428571429,534.86,0,1,0,1,0,0,0,1,2,1354.046828622152,0,0,1,0,0,480170060563.0,0,0,1,0,1,275,142,36,130,32,99
44,74682,https://www.airbnb.com/rooms/74682,2021-12-17,Large Studio in Ognissanti Palace,386165,Gian,2011-02-10,"Florence, Toscana, Italy",1,Centro Storico,43.77243,11.24519,Entire home/apt,2,1.0,38.0,3,8,13,261,47,2,,f,1,6.53,174.5714285714286,6633.71,0,1,0,1,0,1,0,0,2,873.5090294238595,1,0,0,0,0,480170060855.0,0,0,1,0,0,68,37,5,46,8,24
45,75803,https://www.airbnb.com/rooms/75803,2021-12-17,B&B Borgo Ponte all'Asse,403066,Paola,2011-02-21,"Firenze, Toscana, Italy",3,Gavinana Galluzzo,43.74384,11.21331,Private room,8,2.0,100.0,0,0,16,291,0,0,,f,3,0.07,0.0,0.0,0,0,1,0,0,0,0,0,6,4731.589044587252,0,1,0,0,0,480170060340.0,0,0,1,1,1,69,34,24,54,5,23
46,77570,https://www.airbnb.com/rooms/77570,2021-12-17,Duomo Flat Amazing view in Florence,416144,Massimiliano,2011-03-01,"Florence, Toscana, Italy",2,Centro Storico,43.77272,11.25914,Entire home/apt,4,2.0,130.0,0,21,46,224,59,5,,t,1,5.01,219.14285714285717,28488.57,0,1,0,0,1,1,0,1,3,256.30744400606943,1,0,0,0,0,480170060287.0,1,0,1,0,0,100,50,16,72,16,30
47,80692,https://www.airbnb.com/rooms/80692,2021-12-17,Alfani Suite by GALLERIA ACCADEMIA,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77556,11.26009,Entire home/apt,4,1.0,153.0,0,0,0,0,0,0,048017LTN3740,t,125,0.03,0.0,0.0,0,1,1,0,0,1,1,1,314,427.942477355504,1,0,0,0,0,480170061079.0,0,0,0,1,1,24,13,6,22,4,6
48,80693,https://www.airbnb.com/rooms/80693,2021-12-17,Alfani Terrace 2b near the Duomo,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77556,11.26009,Entire home/apt,6,2.0,202.0,9,9,9,9,0,0,048017LTN3741,t,125,0.13,0.0,0.0,0,1,1,0,0,1,1,1,314,427.942477355504,1,0,0,0,0,480170061079.0,0,0,0,1,1,24,13,6,22,4,6
49,80694,https://www.airbnb.com/rooms/80694,2021-12-17,Alfani 2b VIEW OF DUOMO,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77556,11.26009,Entire home/apt,6,2.0,201.0,0,0,0,108,0,0,048017LTN3742,t,125,0.16,0.0,0.0,0,1,1,0,0,1,1,1,314,427.942477355504,1,0,0,0,0,480170061079.0,0,0,1,1,1,24,13,6,22,4,6
50,81606,https://www.airbnb.com/rooms/81606,2021-12-17,MAGDA: - close to the DUOMO-SPECIAL APRIL-MAY,434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11,Centro Storico,43.7736,11.25881,Entire home/apt,6,2.0,140.0,6,6,6,256,0,0,,f,6,0.04,0.0,0.0,0,1,1,0,0,0,0,0,17,232.95661001685983,1,0,0,0,0,480170061011.0,0,0,1,1,1,269,153,31,153,50,86
